BIP_SA_DE,BIPVOL_SA_DE,CPR_SA_DE,CPRVOL_SA_DE,BAI_SA_DE,BAIVOL_SA_DE,AVETI_SA_DE,ETI_SA_DE,PRODH_SA_DE,PRODN_SA_DE,VERDH_SA_DE,VERDN_SA_DE,BIPP_SA_DE
870.795,103.65,458.627,106.35,184.194,102.83,15633.6398,45048,98.28,103.46,28.15,3113,97.38608128
877.381,104.33,459.882,106.88,185.802,103.39,15598.0232,45171,98.72,103.85,28.35,3136,97.48309032
881.579,104.39,466.397,107.21,187.644,103.72,15516.0499,45281,99.48,103.66,29.03,3176,97.8932189
890.615,104.79,470.782,107.76,188.828,103.67,15639.8433,45322,98.92,103.97,28.91,3207,98.5190999
893.91,104.44,470.684,107.73,189.166,103.18,15541.0132,45396,99.46,103.45,29.23,3192,99.21496942
881.557,102.32,452.976,103.26,185.975,101.05,15250.9994,45422,99.02,101.3,29.51,3197,99.87116988
809.941,93.24,406.041,92.3,176.76,95.68,14297.0332,44817,96.41,93.55,29.86,3070,100.693489
868.891,101.33,446.239,102.95,182.269,99.41,14515.2102,44782,103.08,101.75,30.53,3194,99.39797265
883.442,102.31,440.945,100.89,188.565,102.28,14836.7778,44851,101.41,102.58,29.86,3223,100.0945031
888.814,101.68,435.233,97.31,186.674,99.89,14888.9041,44818,101.02,102.02,29.8,3190,101.3271015
909.204,104.07,447.963,99.81,194.762,102.2,15213.3778,44920,100.95,104.18,29.58,3242,101.2712227
930.352,104.16,472.285,104.66,194.575,98.95,14907.0659,45141,103.14,103.76,31.15,3325,103.5372426
944.825,104.72,482.871,105.37,199.36,99.75,15171.8235,45286,101.3,103.98,30.55,3348,104.5856291
971.767,105.43,506.453,108.26,206.571,100.72,15292.8733,45476,101.7,104.25,30.93,3370,106.8435257
989.273,105.59,517.826,108.49,213.688,100.14,15288.615,45594,102.01,104.14,31.2,3382,108.6034537
1001.691,105.9,530.247,109.29,218.436,100.6,15358.5,45672,101.82,104.26,31.48,3425,109.6448107
1020.051,105.53,536.093,107.76,219.374,99.48,15244.9971,45777,102.25,103.65,32.53,3498,112.0459642
1038.961,105.03,547.244,107.58,222.755,99.07,15408.6857,45882,100.57,102.93,32.61,3571,114.6663927
1050.287,104.95,556.225,108.55,224.627,99.19,15431.9517,45940,100.54,102.72,33.34,3610,116.004762
1060.216,104.95,556.147,107.88,224.835,98.95,15439.2744,45952,100.42,102.69,33.72,3652,117.1014254
1071.317,104.66,559.516,107.79,222.366,97.42,15303.962,45971,101.37,102.37,34.76,3724,118.6554078
1074.528,104.55,564.17,108.18,222.732,96.8,15326.6338,45976,100.82,102.25,34.98,3773,119.1362621
1078.214,104.28,568.982,108.31,220.625,95.22,15373.6462,45996,100.11,101.94,35.02,3800,119.8544641
1083.897,104.3,572.515,108.53,220.818,94.75,15337.7472,45979,100.4,101.99,35.54,3848,120.4630836
1094.78,104.49,577.583,108.98,223.396,95.3,15394.3709,45999,100.44,102.14,36.04,3889,121.4513638
1104.372,104.81,585.968,109.59,225.972,95.62,15355.3201,46011,100.76,102.43,36.4,3930,122.141412
1113.004,104.59,590.38,109.74,225.001,94.53,15321.2693,46000,100.92,102.24,36.92,3976,123.3550213
1121.083,104.59,592.378,109.46,226.586,94.78,15335.5775,45959,100.74,102.33,37.27,4043,124.2504226
